customer_id,age,gender,region,tenure_days,total_orders,total_spent,avg_order_value,days_since_last_order,total_sessions,avg_session_duration,pages_per_session,cart_abandonment_rate,support_tickets,preferred_category,seasonal_activity,marketing_channel,will_churn,predicted_spending_3months
123,51,F,South,76,6,551.48,91.91,4,21,8.28,2.09,0.779,0,Home,0.475,Direct,0,194.58
124,18,M,West,296,5,302.39,60.48,112,27,9.85,2.48,0.691,3,Electronics,0.513,Paid_Search,0,0.0
125,42,F,West,50,8,984.41,123.05,7,19,6.27,6.27,0.811,1,Books,0.636,Email,0,346.19
126,61,M,North,11,9,678.96,75.44,82,23,4.09,7.31,0.472,2,Books,0.079,Organic,0,152.87
127,23,F,South,25,4,143.87,35.97,6,23,11.84,1.61,0.404,3,Electronics,0.506,Social,0,101.04
128,28,M,West,352,9,611.72,67.97,80,26,13.47,1.14,0.721,2,Sports,0.092,Organic,0,151.84
129,36,M,North,180,6,459.4,76.57,31,27,11.32,5.16,0.068,2,Clothing,0.311,Organic,0,195.03
130,28,M,Central,52,11,948.47,86.22,3,24,9.02,1.29,0.627,1,Home,0.647,Social,0,275.32
131,18,M,West,145,9,617.08,68.56,26,23,4.6,4.49,0.607,1,Home,0.55,Social,0,64.3
132,35,F,East,134,8,397.69,49.71,11,25,13.07,1.45,0.604,1,Clothing,0.719,Paid_Search,0,78.9
133,22,M,South,191,8,381.0,47.63,14,28,10.82,1.45,0.824,0,Home,0.885,Paid_Search,0,64.25
134,40,F,South,47,7,410.62,58.66,17,22,16.6,1.0,0.822,2,Home,0.198,Social,0,0.0
135,23,M,Central,359,7,427.39,61.06,16,24,3.88,10.61,0.372,1,Electronics,0.233,Social,0,259.26
136,53,M,South,66,7,326.38,46.63,32,17,11.95,7.34,0.898,4,Electronics,0.351,Organic,0,356.29
137,25,M,West,213,7,396.76,56.68,43,16,10.7,2.57,0.772,1,Electronics,0.859,Social,0,172.43
138,31,M,South,2,12,1097.84,91.49,11,23,7.13,3.82,0.432,1,Electronics,0.65,Social,0,394.84
139,44,M,North,83,11,1278.31,116.21,77,31,13.96,3.74,0.392,1,Books,0.292,Social,0,304.39
140,20,M,North,78,7,657.21,93.89,83,22,10.11,10.72,0.888,0,Home,0.27,Email,0,135.39
141,37,F,East,141,4,430.59,107.65,1,18,4.75,4.33,0.824,1,Clothing,0.293,Social,0,165.88
142,50,M,Central,13,14,1390.94,99.35,0,24,8.03,5.87,0.803,1,Home,0.353,Direct,0,376.6
143,18,F,South,281,10,958.28,95.83,16,21,4.7,8.15,0.882,3,Books,0.323,Direct,0,0.0
144,37,F,South,44,11,732.11,66.56,26,29,6.63,1.57,0.735,1,Books,0.451,Email,0,178.45
145,38,M,South,203,5,392.61,78.52,9,17,11.32,1.8,0.831,1,Home,0.353,Paid_Search,0,249.73
146,44,F,East,292,13,838.3,64.48,9,25,12.46,7.32,0.244,2,Home,0.731,Organic,0,254.1
147,20,F,South,148,8,556.18,69.52,34,20,9.38,2.5,0.838,1,Electronics,0.55,Email,0,58.7
148,19,F,West,243,5,383.52,76.7,27,14,5.5,1.39,0.53,1,Books,0.785,Organic,0,231.37
149,41,F,East,195,7,649.87,92.84,5,20,10.03,3.58,0.381,0,Home,0.437,Organic,0,233.32
150,38,M,East,79,8,684.66,85.58,64,19,11.39,7.16,0.577,0,Clothing,0.051,Direct,0,0.0
151,38,F,North,297,10,709.54,70.95,34,21,0.61,11.47,0.683,1,Clothing,0.463,Social,0,199.37
152,39,F,Central,62,5,381.94,76.39,13,19,8.97,9.32,0.789,1,Electronics,0.58,Organic,0,88.15
153,26,F,South,152,5,429.18,85.84,34,18,7.74,1.0,0.804,1,Electronics,0.851,Direct,0,85.98
154,37,Other,North,246,4,366.74,91.68,3,16,12.31,2.56,0.55,3,Home,0.241,Social,0,0.0
155,38,M,West,85,5,185.13,37.03,18,19,10.04,1.08,0.582,0,Clothing,0.205,Paid_Search,0,0.0
156,26,M,East,64,12,576.78,48.07,5,21,10.44,1.64,0.427,3,Books,0.207,Paid_Search,0,632.74
157,57,F,South,110,2,205.37,102.68,1,14,6.57,3.68,0.78,0,Sports,0.903,Social,0,0.0
158,40,F,South,306,7,514.35,73.48,12,17,8.51,3.66,0.653,1,Clothing,0.494,Social,0,0.0
159,20,M,West,478,9,579.58,64.4,4,23,12.27,1.0,0.38,1,Books,0.709,Social,0,103.29
160,42,M,North,141,9,615.71,68.41,30,25,8.24,1.65,0.49,2,Clothing,0.246,Organic,1,52.25
161,23,M,West,194,7,478.85,68.41,33,16,9.2,9.75,0.096,3,Home,0.073,Social,0,126.04
162,44,M,East,420,10,889.48,88.95,4,24,2.36,1.0,0.413,0,Sports,0.126,Social,0,108.05
163,48,F,South,18,8,378.4,47.3,0,23,8.23,7.18,0.304,0,Sports,0.22,Email,0,229.09
164,25,F,East,47,10,756.19,75.62,47,21,0.5,2.11,0.556,1,Home,0.895,Social,0,95.63
165,46,M,South,222,10,811.53,81.15,0,24,6.44,3.19,0.949,2,Home,0.291,Organic,0,90.17
166,39,M,West,312,3,254.72,84.91,12,15,8.75,7.82,0.743,3,Electronics,0.452,Paid_Search,0,192.75
167,44,M,East,350,4,322.29,80.57,20,18,11.57,2.67,0.807,2,Books,0.912,Social,0,152.91
168,57,M,South,96,7,615.28,87.9,51,24,4.5,10.17,0.673,0,Books,0.335,Social,0,241.78
169,32,F,East,16,7,424.78,60.68,54,20,9.99,1.0,0.735,1,Electronics,0.395,Organic,1,125.26
170,25,Other,Central,103,8,411.64,51.45,38,26,14.37,6.2,0.556,2,Books,0.635,Paid_Search,1,176.75
171,24,F,South,47,4,545.7,136.43,8,20,5.94,5.66,0.704,2,Sports,0.65,Organic,0,134.09
172,25,M,Central,61,9,607.22,67.47,38,26,2.31,9.4,0.573,3,Clothing,0.275,Paid_Search,0,165.38
173,34,F,South,266,13,915.05,70.39,8,32,9.66,4.98,0.267,0,Sports,0.799,Organic,0,0.0
174,39,F,North,14,8,735.57,91.95,7,24,3.73,2.9,0.379,0,Electronics,0.14,Email,0,0.0
175,38,F,South,316,9,1034.12,114.9,23,32,5.22,1.54,0.592,2,Books,0.209,Social,0,317.01
176,44,F,South,100,10,613.87,61.39,34,19,12.19,2.49,0.637,2,Books,0.752,Direct,0,0.0
177,35,M,South,163,5,250.15,50.03,1,22,16.01,1.0,0.59,1,Clothing,0.817,Email,0,63.86
178,52,M,North,16,6,263.68,43.95,1,24,4.5,5.97,0.446,2,Clothing,0.765,Social,0,56.34
179,31,M,Central,74,5,574.14,114.83,45,22,5.55,3.18,0.661,2,Clothing,0.467,Paid_Search,0,0.0
180,67,M,West,16,10,490.47,49.05,58,26,6.74,2.83,0.658,3,Sports,0.703,Email,1,64.25
181,42,M,West,586,7,520.18,74.31,27,25,6.31,2.34,0.696,0,Electronics,0.737,Organic,0,224.3
182,24,F,North,296,9,455.11,50.57,16,21,16.23,5.44,0.56,0,Electronics,0.422,Organic,0,265.28
183,22,F,North,110,11,426.7,38.79,55,22,6.38,2.82,0.811,2,Electronics,0.776,Paid_Search,0,82.99
184,40,F,North,45,7,473.83,67.69,39,27,6.95,3.43,0.788,2,Sports,0.669,Organic,0,174.94
185,32,M,West,487,8,412.44,51.56,25,23,14.96,3.38,0.799,2,Home,0.517,Paid_Search,0,245.49
186,43,F,Central,76,9,519.38,57.71,11,23,10.81,4.93,0.768,0,Books,0.324,Organic,0,310.05
187,40,F,South,31,9,1126.37,125.15,6,24,12.44,4.67,0.294,0,Sports,0.52,Organic,0,365.42
188,34,F,North,149,5,428.11,85.62,16,20,4.88,7.81,0.738,3,Electronics,0.8,Social,0,141.78
189,24,Other,East,518,10,982.87,98.29,10,23,6.38,7.14,0.685,1,Sports,0.384,Social,0,473.12
190,18,F,South,1,8,764.93,95.62,12,21,4.34,2.31,0.601,0,Sports,0.695,Paid_Search,0,102.62
191,29,F,South,48,11,797.26,72.48,21,20,11.71,11.18,0.67,2,Home,0.014,Organic,0,381.19
192,45,M,East,501,8,512.06,64.01,5,27,13.4,4.63,0.81,1,Clothing,0.753,Paid_Search,0,274.85
193,37,M,West,33,5,406.12,81.22,49,20,6.1,12.81,0.695,1,Electronics,0.391,Organic,0,378.14
194,20,M,North,21,9,712.9,79.21,4,22,7.04,4.18,0.551,1,Sports,0.549,Social,0,186.85
195,37,M,North,151,9,547.02,60.78,19,22,7.22,2.5,0.871,3,Clothing,0.246,Email,0,83.05
196,39,M,Central,356,9,704.22,78.25,41,27,2.31,2.07,0.908,2,Books,0.916,Organic,0,143.78
197,24,F,South,116,5,286.71,57.34,19,24,5.8,1.0,0.526,2,Books,0.44,Organic,0,97.56
198,36,F,North,938,10,707.14,70.71,13,25,11.59,3.91,0.542,0,Books,0.68,Paid_Search,0,0.0
199,35,F,North,204,10,666.18,66.62,19,21,5.0,4.07,0.698,1,Sports,0.344,Paid_Search,0,96.31
200,21,M,North,13,9,389.5,43.28,56,26,8.87,3.22,0.444,0,Sports,0.916,Organic,0,0.0
201,39,F,South,888,8,129.77,16.22,139,23,3.27,4.37,0.599,1,Home,0.76,Organic,0,45.55
202,41,F,West,94,8,412.19,51.52,29,23,7.92,1.0,0.614,1,Electronics,0.604,Paid_Search,0,173.36
203,47,M,South,60,10,1201.03,120.1,47,28,6.25,3.01,0.896,2,Clothing,0.535,Direct,0,731.47
204,47,F,South,146,10,672.58,67.26,0,24,3.61,1.23,0.467,1,Books,0.385,Email,1,27.43
205,18,M,West,65,3,283.2,94.4,63,24,11.66,4.46,0.655,1,Clothing,0.231,Social,0,89.06
206,23,M,East,16,14,306.44,21.89,92,29,11.89,3.7,0.634,3,Home,0.508,Email,0,0.0
207,41,F,West,1,11,547.72,49.79,25,23,4.62,7.09,0.421,0,Books,0.325,Organic,0,40.2
208,41,M,West,107,8,329.1,41.14,42,16,7.64,2.56,0.471,0,Clothing,0.111,Organic,0,132.15
209,41,F,North,326,8,559.54,69.94,21,19,8.68,7.06,0.798,2,Electronics,0.139,Organic,0,264.01
210,80,F,West,152,8,1084.39,135.55,10,30,1.24,2.99,0.855,1,Electronics,0.838,Social,0,742.24
211,41,F,East,1095,9,778.55,86.51,57,23,2.91,5.37,0.354,3,Home,0.778,Email,0,133.12
212,48,M,Central,60,12,1408.68,117.39,27,27,13.65,1.71,0.468,0,Clothing,0.84,Organic,0,0.0
213,46,M,East,59,13,892.31,68.64,25,27,4.24,3.39,0.846,1,Home,0.249,Organic,0,157.2
214,42,M,Central,31,11,1200.34,109.12,32,23,13.53,3.12,0.636,1,Home,0.313,Email,0,251.92
215,31,F,West,32,7,887.82,126.83,58,22,3.12,7.38,0.506,0,Home,0.708,Paid_Search,0,410.47
216,44,M,South,60,7,505.86,72.27,39,16,11.14,3.12,0.295,2,Sports,0.351,Social,0,243.32
217,25,M,East,283,5,307.59,61.52,7,20,7.25,3.14,0.471,1,Electronics,0.672,Paid_Search,0,282.36
218,32,F,Central,425,6,252.33,42.05,18,25,7.82,12.18,0.374,2,Sports,0.473,Organic,0,154.9
219,29,F,West,664,3,201.82,67.27,117,21,15.92,6.0,0.852,3,Sports,0.59,Social,0,136.05
220,35,M,North,47,9,693.43,77.05,24,26,3.48,2.64,0.649,1,Electronics,0.815,Paid_Search,0,75.17
221,62,F,West,383,13,1635.06,125.77,83,34,10.88,5.0,0.666,2,Home,0.164,Organic,0,0.0
222,18,F,South,71,7,298.38,42.63,50,14,10.71,6.42,0.802,2,Clothing,0.666,Direct,0,48.23
223,43,M,North,21,7,535.44,76.49,32,20,21.92,3.61,0.762,0,Home,0.788,Organic,0,634.18
224,18,M,South,367,11,326.07,29.64,12,22,4.19,5.85,0.851,2,Home,0.538,Paid_Search,0,28.33
225,29,F,South,181,6,385.99,64.33,10,28,6.0,3.39,0.535,3,Sports,0.362,Paid_Search,1,20.1
226,48,F,West,32,9,745.06,82.78,30,26,11.76,7.42,0.777,2,Clothing,0.637,Organic,0,103.63
227,35,F,South,101,13,1141.59,87.81,16,30,7.7,1.0,0.748,5,Electronics,0.599,Organic,0,114.96
228,22,M,West,60,11,986.98,89.73,48,24,6.65,1.49,0.535,1,Books,0.309,Organic,0,86.72
229,26,M,North,240,11,934.29,84.94,42,34,12.33,2.39,0.507,0,Electronics,0.897,Paid_Search,0,0.0
230,43,M,South,108,8,716.08,89.51,11,22,7.43,5.84,0.135,0,Clothing,0.63,Organic,0,167.86
231,26,M,South,816,12,913.72,76.14,36,26,4.93,4.34,0.766,2,Electronics,0.201,Email,0,186.62
232,37,M,South,10,12,585.64,48.8,20,26,11.4,1.78,0.732,2,Sports,0.247,Organic,0,51.16
233,35,M,North,78,15,430.63,28.71,11,25,10.0,3.71,0.762,3,Clothing,0.515,Social,0,74.26
234,27,F,North,118,4,245.33,61.33,15,14,7.25,1.0,0.667,1,Books,0.382,Organic,0,96.75
235,60,Other,East,125,6,429.81,71.63,67,14,7.06,1.0,0.699,0,Books,0.912,Organic,0,193.44
236,42,F,South,68,5,531.74,106.35,13,22,4.84,1.0,0.365,2,Clothing,0.949,Organic,0,674.52
237,18,F,South,235,8,579.88,72.48,10,17,11.4,1.26,0.716,1,Electronics,0.681,Email,0,0.0
238,37,M,South,373,10,700.86,70.09,13,21,7.06,5.66,0.672,4,Books,0.374,Organic,0,36.17
239,27,F,West,502,7,592.47,84.64,7,23,5.42,4.45,0.541,1,Clothing,0.511,Paid_Search,0,0.0
240,45,M,Central,294,7,477.75,68.25,23,19,3.36,2.71,0.504,1,Clothing,0.211,Organic,1,30.25
241,25,F,East,342,3,285.79,95.26,4,15,10.07,5.79,0.567,2,Clothing,0.425,Social,0,139.45
242,33,Other,South,143,10,1244.83,124.48,51,26,6.47,7.74,0.664,1,Home,0.438,Direct,0,844.66
243,41,F,North,314,9,1167.93,129.77,7,25,0.5,1.32,0.753,4,Electronics,0.07,Paid_Search,0,459.62
